file,status,sha256,rows,columns,privacy_status
Fig1_monthly_phase2.csv,PASS,96c8b7350497c76098c3630f26830a39019cc73e0b50131492434cb831c4e5a4,738,6,PASS_AGGREGATE_MINIMIZED
Fig2_age_rates.csv,PASS,c8901d60fd9119687e608d5253967e319987223cf50c696c48f9ff9fc27ef47c,153,5,PASS_AGGREGATE_MINIMIZED
Fig2_monthly_age_phase2.csv,PASS,2e7bccdbb90cfce17f513356aa566c2f309d985155c7268f2df3b41c3a32ef57,6534,7,PASS_AGGREGATE_MINIMIZED
Fig3_monthly_age_codetection.csv,PASS,0051158e938f58d0ff5ce8906d9abc313301649eaa01c496b32b110bca2581bb,726,5,AUTHOR_INSTITUTION_REVIEW_REQUIRED_FIG3
Fig3_age_codetection.csv,PASS,ef3a8366b87e82ca42371b1edd2677ed51c3e457dd5373e7e7b3488c53f013bc,9,3,PASS_AGGREGATE_MINIMIZED
Fig3_codetection_matrix.csv,PASS,37021240c74173bf0fe449748d974dfc068d385870ba9587538c2f9d3fa119e8,72,7,AUTHOR_INSTITUTION_REVIEW_REQUIRED_FIG3
Fig4_predictions.csv,PASS,5f02132a427795c46860f70815c6a259b0a28d1871fe0b83fcc67955bfc59277,1912,9,PASS_AGGREGATE_MINIMIZED
Fig4_selected_feature_importance.csv,PASS,b89033ae763cc0efb8c4df108c2a8158fc93d02e2b36918f3c847c9a50e8e902,45,6,PASS_AGGREGATE_MINIMIZED
Fig4_selected_performance.csv,PASS,bce392b8b43691e6f414d5d35bd59cddd3fced9e21cb848d9a28fc0f3c1139dc,9,12,PASS_AGGREGATE_MINIMIZED
FigS1_monthly_rates.csv,PASS,ec30b95b9b3b5f95204c0d1fa4ac7f617ba5cd9d5b10feb1113808bd523b8b3f,1282,6,PASS_AGGREGATE_MINIMIZED
FigS2_environment_cells.csv,PASS,1ee9a1bfa7ecdce3c9dab7ab02b27eec77179563bc345d641d135240b1afd82a,810,10,PASS_AGGREGATE_MINIMIZED
FigS3_environment_cells.csv,PASS,15e91b205381dbc272c58f0c3017d08870c49c2d59ca21954ae46112913af113,810,10,PASS_AGGREGATE_MINIMIZED
FigS4_environment_cells.csv,PASS,1ed4cc5d084a04336312648ca8efc2b51b5f158ac669958f47b1e94e6dabb4ed,810,10,PASS_AGGREGATE_MINIMIZED
FigS5_rf_lag_metrics.csv,PASS,fe0e4e2ffa918a589c1b5b55ff988c95f1c354b1251b5ef7dcb9d52cb8670f2e,45,11,PASS_AGGREGATE_MINIMIZED
